File name;Copyright;Copyright CERN;Already CERN SPDX;Copyright added;Oldest year;Copyright line read
./sim/endpoint_regs.v;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/old_endpoint_regs.v;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/endpoint_mdio.v;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/wishbone_test_master.v;YES;YES;YES;NO;2001;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/lbk_regs.v;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/softpll_regs.v;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/pps_gen_regs.v;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./top/vfchd_ref_design/vfchd_i2cmux/SfpIdReader.v;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./top/vfchd_ref_design/vfchd_i2cmux/I2cMuxAndExpReqArbiter.v;YES;YES;YES;NO;2005;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./top/vfchd_ref_design/vfchd_i2cmux/I2cMuxAndExpMaster.v;YES;YES;YES;NO;2005;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe4/gtwizard_ultrascale_2_gtwizard_top.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe4/gtwizard_ultrascale_v1_7_gthe4_channel.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe4/gtwizard_ultrascale_2_gthe4_channel_wrapper.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2018 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe4/gtwizard_ultrascale_2_gtwizard_gthe4.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe4/gtwizard_ultrascale_2.v;YES;NO;NO;NO;1995;// (c) Copyright 1995-2024 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe3/wr_gth_wrapper_example_gtwiz_userclk_tx.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2018 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe3/wr_gth_wrapper_example_init.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2018 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe3/wr_gth_wrapper_example_bit_sync.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2018 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe3/wr_gth_wrapper_example_wrapper_functions.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2018 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe3/gtwizard_ultrascale_v1_7_gthe3_channel.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe3/wr_gth_wrapper_example_gtwiz_userclk_rx.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2018 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe3/wr_gth_wrapper_example_top.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2018 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe3/wr_gth_wrapper_example_reset_sync.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2018 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe3/wr_gth_wrapper_example_wrapper.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2018 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe3/wr_gth_wrapper_gthe3_channel_wrapper.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2018 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe3/wr_gth_wrapper_gtwizard_gthe3.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe3/wr_gth_wrapper_gtwizard_top.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/gthe3/wr_gth_wrapper.v;YES;NO;NO;NO;1995;// (c) Copyright 1995-2024 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/common/gtwizard_ultrascale_v1_7_gthe3_cpll_cal.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/common/gtwizard_ultrascale_v1_7_gthe4_delay_powergood.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/common/gtwizard_ultrascale_v1_7_gthe4_cpll_cal.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/common/gtwizard_ultrascale_v1_7_gtwiz_buffbypass_tx.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/common/gtwizard_ultrascale_v1_7_reset_inv_sync.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/common/gtwizard_ultrascale_v1_7_gte4_drp_arb.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/common/gtwizard_ultrascale_v1_7_reset_sync.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/common/gtwizard_ultrascale_v1_7_gtwiz_userclk_rx.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/common/gtwizard_ultrascale_v1_7_gthe4_cpll_cal_rx.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/common/gtwizard_ultrascale_v1_7_gtwiz_userdata_rx.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/common/gtwizard_ultrascale_v1_7_gtwiz_buffbypass_rx.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/common/gtwizard_ultrascale_v1_7_gtwiz_userclk_tx.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/common/gtwizard_ultrascale_v1_7_gtwiz_reset.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/common/gtwizard_ultrascale_v1_7_gtwiz_userdata_tx.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/common/gtwizard_ultrascale_v1_7_gthe3_cal_freqcnt.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
./platform/xilinx/wr_gtp_phy/xilinx-ip/common/gtwizard_ultrascale_v1_7_gthe4_cpll_cal_tx.v;YES;NO;NO;NO;2013;//  (c) Copyright 2013-2015 Xilinx, Inc. All rights reserved.
